date,week_number,year,region,therapeutic_area,product,brand,trx,nrx,units,raw_region,raw_ta,raw_product,raw_brand,is_missing_categorical,parsed_date,iso_date,iso_year,iso_week,year_week,is_week_mismatch,clean_region,clean_therapeutic_area,clean_product,clean_brand,clean_trx,clean_nrx,clean_units,is_negative_trx,is_missing_numeric,is_nrx_gt_trx_error,is_duplicate,rejection_reason
2023/07/03,79,2023,,  Cardiology  ,Cardivex,Corvyx Pharma,286.2,78.8,918,,Cardiology,Cardivex,Corvyx Pharma,True,2023-07-03,2023-07-03,2023,27,2023-W27,False,Unknown,Cardiology,Cardivex,Corvyx Pharma,286.2,78.8,918.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
24/11/2025,204,2025,,cardiology,Vascolin,Zenova Biosciences,192.9,40.4,592,,cardiology,Vascolin,Zenova Biosciences,True,2025-11-24,2025-11-24,2025,48,2025-W48,False,Unknown,Cardiology,Vascolin,Zenova Biosciences,192.9,40.4,592.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
2022/08/15,33,2022,AndhraPradesh,  Diabetes  ,Metforal,,179.7,40.5,493,AndhraPradesh,Diabetes,Metforal,,True,2022-08-15,2022-08-15,2022,33,2022-W33,False,Andhra Pradesh,Diabetes,Metforal,Unknown,179.7,40.5,493.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
07-Apr-2025,171,2025,,RESPIRATORY,Bronchel,,229.2,61.8,729,,RESPIRATORY,Bronchel,,True,2025-04-07,2025-04-07,2025,15,2025-W15,False,Unknown,Respiratory,Bronchel,Unknown,229.2,61.8,729.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION | UNKNOWN_BRAND
09-Sep-2024,141,2024,  Rajasthan  ,Diabetes,Metforal,,136.2,44.9,353,Rajasthan,Diabetes,Metforal,,True,2024-09-09,2024-09-09,2024,37,2024-W37,False,Rajasthan,Diabetes,Metforal,Unknown,136.2,44.9,353.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
2024/09/09,141,2024,Maharashtra,RESPIRATORY,Airovent,,280.7,74.5,896,Maharashtra,RESPIRATORY,Airovent,,True,2024-09-09,2024-09-09,2024,37,2024-W37,False,Maharashtra,Respiratory,Airovent,Unknown,280.7,74.5,896.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
2022-03-28,13,2022,Maharashtra,Respiratory,Respivan,,201.5,48.8,543,Maharashtra,Respiratory,Respivan,,True,2022-03-28,2022-03-28,2022,13,2022-W13,False,Maharashtra,Respiratory,Respivan,Unknown,201.5,48.8,543.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
01/27/2025,161,2025,KARNATAKA,Cardiology,Vascolin,,381.2,117.4,991,KARNATAKA,Cardiology,Vascolin,,True,2025-01-27,2025-01-27,2025,5,2025-W05,False,Karnataka,Cardiology,Vascolin,Unknown,381.2,117.4,991.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
11/25/2024,152,2024,,Diabetes,Insulyn,Insulara Biotech,,59.0,861,,Diabetes,Insulyn,Insulara Biotech,True,2024-11-25,2024-11-25,2024,48,2024-W48,False,Unknown,Diabetes,Insulyn,Insulara Biotech,,59.0,861.0,False,True,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
09/09/2024,141,2024,andhra pradesh,  Diabetes  ,Metforal,,147.3,29.1,479,andhra pradesh,Diabetes,Metforal,,True,2024-09-09,2024-09-09,2024,37,2024-W37,False,Andhra Pradesh,Diabetes,Metforal,Unknown,147.3,29.1,479.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_BRAND
09/29/2025,196,2025,,DIABETES,Insulyn,Insulara Biotech,166.8,32.7,563,,DIABETES,Insulyn,Insulara Biotech,True,2025-09-29,2025-09-29,2025,40,2025-W40,False,Unknown,Diabetes,Insulyn,Insulara Biotech,166.8,32.7,563.0,False,False,False,False,MISSING_CATEGORICAL_FIELD | UNKNOWN_REGION
