date,week_number,year,region,therapeutic_area,product,brand,trx,nrx,units
2025/12/15,207,2025,maharashtra,  Diabetes  ,Insulyn,Insulara Biotech,268.0,73.9,721
2024-12-09,154,2024,Gujarat,RESPIRATORY,Bronchel,Breathex Labs,194.7,51.2,625
2022/07/11,28,2022,  Kerala  ,  Diabetes  ,Insulyn,Insulara Biotech,151.0,60.3,502
2025-10-13,198,2025,gujarat,  Diabetes  ,Insulyn,Insulara Biotech,178.0,41.3,494
28/03/2022,13,2022,TELANGANA,cardiology,Vascolin,Zenova Biosciences,204.2,52.7,638
07/08/2024,132,2024,  Rajasthan  ,Respiratory,Bronchel,Breathex Labs,194.8,30.0,520
2023/07/03,79,2023,,  Cardiology  ,Cardivex,Corvyx Pharma,286.2,78.8,918
06/23/2025,182,2025,Rajasthan,  Cardiology  ,Cardivex,Corvyx Pharma,139.5,29.2,391
24-Apr-2023,69,2023,  Rajasthan  ,DIABETES,Metforal,Novanta Pharma,135.7,24.3,344
17-Oct-2022,42,2022,RAJASTHAN,  Cardiology  ,Cordamet,Meditrix Labs,195.1,74.0,635
16/06/2025,181,2025,Telangana,respiratory,Airovent,Pulmovia Therapeutics,114.3,21.3,329
2022/07/18,29,2022,DELHI,  Diabetes  ,Metforal,Novanta Pharma,233.0,79.6,757
10/03/2025,167,2025,KERALA,CARDIOLOGY,Cordamet,Meditrix Labs,162.9,44.9,525
2024/12/30,157,2025,KARNATAKA,  Cardiology  ,Cordamet,Meditrix Labs,227.3,63.8,728
04/28/2025,174,2025,  Kerala  ,Cardiology,Cardivex,Corvyx Pharma,138.5,38.9,458
01-Dec-2025,205,2025,Tamil Nadu,CARDIOLOGY,Cordamet,Meditrix Labs,333.8,81.5,869
24/11/2025,204,2025,,cardiology,Vascolin,Zenova Biosciences,192.9,40.4,592
24/11/2025,204,2025,Andhra Pradesh,  Cardiology  ,Vascolin,Zenova Biosciences,200.0,52.2,526
2022/10/24,43,2022,karnataka,cardiology,Vascolin,Zenova Biosciences,268.5,51.3,784
22-May-2023,73,2023,DELHI,Respiratory,Airovent,Pulmovia Therapeutics,131.2,24.0,350
12/09/2024,154,2024,Delhi,Cardiology,Cardivex,Corvyx Pharma,139.3,24.6,419
09/01/2025,192,2025,  Telangana  ,Respiratory,Respivan,Aerovant Pharma,149.3,34.2,434
17/03/2025,168,2025,  Kerala  ,cardiology,Cordamet,Meditrix Labs,176.1,43.3,585
2024/12/09,154,2024,  Delhi  ,DIABETES,Metforal,Novanta Pharma,223.7,61.3,667
19-May-2025,177,2025,kerala,Diabetes,Metforal,Novanta Pharma,100.1,16.9,324
08-Sep-2025,193,2025,Tamilnadu,RESPIRATORY,Respivan,Aerovant Pharma,183.3,31.1,505
2025-09-08,193,2025,Delhi,respiratory,Bronchel,Breathex Labs,255.0,57.6,641
2023-07-10,80,2023,  Karnataka  ,Cardiology,Cordamet,Meditrix Labs,230.9,48.1,628
09-May-2022,19,2022,  West Bengal  ,Respiratory,Respivan,Aerovant Pharma,219.6,65.5,565
2023-05-29,74,2023,Delhi,  Cardiology  ,Cardivex,Corvyx Pharma,197.5,69.6,552
19/12/2022,51,2022,DELHI,RESPIRATORY,Airovent,Pulmovia Therapeutics,220.1,59.8,558
30-Jan-2023,57,2023,  Rajasthan  ,Respiratory,Bronchel,Breathex Labs,118.6,28.4,348
03/06/2024,127,2024,Rajasthan,CARDIOLOGY,Cordamet,Meditrix Labs,289.6,63.7,883
12-Sep-2022,37,2022,RAJASTHAN,respiratory,Bronchel,Breathex Labs,175.3,39.0,466
01-Jan-2024,105,2024,andhra pradesh,Diabetes,Metforal,Novanta Pharma,170.3,35.8,569
2022-10-03,40,2022,west bengal,Diabetes,Glucotend,Glucera Health,400.4,90.9,1075
04/24/2023,69,2023,Telangana,RESPIRATORY,Bronchel,Breathex Labs,140.0,35.3,375
02/10/2025,163,2025,Rajasthan,respiratory,Bronchel,Breathex Labs,176.7,39.0,544
26-Jun-2023,78,2023,DELHI,  Respiratory  ,Bronchel,Breathex Labs,273.0,62.7,763
08-Jan-2024,106,2024,Andhra Pradesh,diabetes,Glucotend,Glucera Health,228.9,71.3,599
12/12/2022,50,2022,KARNATAKA,Respiratory,Respivan,Aerovant Pharma,139.8,27.7,396
2025/03/31,170,2025,Delhi,  Cardiology  ,Cardivex,Corvyx Pharma,176.7,53.6,442
22-Apr-2024,121,2024,telangana,Respiratory,Bronchel,Breathex Labs,245.9,63.2,823
30/10/2023,96,2023,TAMIL NADU,Diabetes,Glucotend,Glucera Health,255.0,69.8,711
26/02/2024,113,2024,KARNATAKA,CARDIOLOGY,Cardivex,Corvyx Pharma,164.3,49.6,471
24-Nov-2025,204,2025,Telangana,  Respiratory  ,Respivan,Aerovant Pharma,163.1,29.3,446
2024-01-08,106,2024,  Gujarat  ,respiratory,Bronchel,Breathex Labs,120.8,30.0,409
2022/09/26,39,2022,west bengal,respiratory,Bronchel,Breathex Labs,197.7,55.7,653
2022-12-26,52,2022,karnataka,  Diabetes  ,Metforal,Novanta Pharma,315.4,88.9,870
2022/08/15,33,2022,AndhraPradesh,  Diabetes  ,Metforal,,179.7,40.5,493
