date,week_number,year,region,therapeutic_area,product,brand,trx,nrx,units
2026-01-12,2,2026,maharashtra,  Diabetes  ,Insulyn,Insulara Biotech,5907,1278.0,7173.0
2026-01-12,2,2026,Gujarat,RESPIRATORY,Bronchel,Breathex Labs,2492,817.0,2620.0
2026-01-12,2,2026,  Kerala  ,  Diabetes  ,Insulyn,Insulara Biotech,5801,1230.0,6952.0
2026-01-12,2,2026,gujarat,  Diabetes  ,Insulyn,Insulara Biotech,4676,1105.0,5590.0
2026-01-12,2,2026,TELANGANA,cardiology,Vascolin,Zenova Biosciences,1993,618.0,2200.0
2026-01-12,2,2026,  Rajasthan  ,Respiratory,Bronchel,Breathex Labs,3734,827.0,4622.0
2026-01-12,2,2026,,  Cardiology  ,Cardivex,Corvyx Pharma,1886,594.0,2091.0
2026-01-12,2,2026,Rajasthan,  Cardiology  ,Cardivex,Corvyx Pharma,4161,1044.0,4821.0
2026-01-12,2,2026,  Rajasthan  ,DIABETES,Metforal,Novanta Pharma,3802,1090.0,4314.0
2026-01-12,2,2026,RAJASTHAN,  Cardiology  ,Cordamet,Meditrix Labs,5487,1113.0,6483.0
2026-01-12,2,2026,Telangana,respiratory,Airovent,Pulmovia Therapeutics,3272,726.0,3717.0
2026-01-12,2,2026,DELHI,  Diabetes  ,Metforal,Novanta Pharma,2134,728.0,2497.0
2026-01-12,2,2026,KERALA,CARDIOLOGY,Cordamet,Meditrix Labs,2842,814.0,3106.0
2026-01-12,2,2026,KARNATAKA,  Cardiology  ,Cordamet,Meditrix Labs,4736,965.0,5084.0
2026-01-12,2,2026,  Kerala  ,Cardiology,Cardivex,Corvyx Pharma,2192,499.0,2706.0
2026-01-12,2,2026,Tamil Nadu,CARDIOLOGY,Cordamet,Meditrix Labs,3846,1332.0,4479.0
2026-01-12,2,2026,,cardiology,Vascolin,Zenova Biosciences,1972,565.0,2216.0
2026-01-12,2,2026,Andhra Pradesh,  Cardiology  ,Vascolin,Zenova Biosciences,2845,972.0,3137.0
2026-01-12,2,2026,karnataka,cardiology,Vascolin,Zenova Biosciences,4637,1269.0,4954.0
2026-01-12,2,2026,DELHI,Respiratory,Airovent,Pulmovia Therapeutics,4152,1187.0,4546.0
2026-01-12,2,2026,Delhi,Cardiology,Cardivex,Corvyx Pharma,4932,1136.0,5701.0
2026-01-12,2,2026,  Telangana  ,Respiratory,Respivan,Aerovant Pharma,4499,1040.0,5420.0
2026-01-12,2,2026,  Kerala  ,cardiology,Cordamet,Meditrix Labs,4889,1621.0,5930.0
2026-01-12,2,2026,  Delhi  ,DIABETES,Metforal,Novanta Pharma,3960,1276.0,4322.0
2026-01-12,2,2026,kerala,Diabetes,Metforal,Novanta Pharma,5927,1447.0,6372.0
2026-01-12,2,2026,Tamilnadu,RESPIRATORY,Respivan,Aerovant Pharma,5132,1398.0,5411.0
2026-01-12,2,2026,Delhi,respiratory,Bronchel,Breathex Labs,2553,681.0,2939.0
2026-01-12,2,2026,  Karnataka  ,Cardiology,Cordamet,Meditrix Labs,4043,1158.0,5048.0
2026-01-12,2,2026,  West Bengal  ,Respiratory,Respivan,Aerovant Pharma,2422,813.0,2884.0
2026-01-12,2,2026,Delhi,  Cardiology  ,Cardivex,Corvyx Pharma,3010,669.0,3176.0
2026-01-12,2,2026,DELHI,RESPIRATORY,Airovent,Pulmovia Therapeutics,5000,1012.0,5344.0
2026-01-12,2,2026,Rajasthan,CARDIOLOGY,Cordamet,Meditrix Labs,2107,558.0,2468.0
2026-01-12,2,2026,RAJASTHAN,respiratory,Bronchel,Breathex Labs,5070,1620.0,5423.0
2026-01-12,2,2026,andhra pradesh,Diabetes,Metforal,Novanta Pharma,1563,498.0,1742.0
2026-01-12,2,2026,west bengal,Diabetes,Glucotend,Glucera Health,1806,431.0,1941.0
2026-01-12,2,2026,Telangana,RESPIRATORY,Bronchel,Breathex Labs,3306,903.0,3704.0
2026-01-12,2,2026,Rajasthan,respiratory,Bronchel,Breathex Labs,2675,593.0,3256.0
2026-01-12,2,2026,DELHI,  Respiratory  ,Bronchel,Breathex Labs,4395,1324.0,4961.0
2026-01-12,2,2026,Andhra Pradesh,diabetes,Glucotend,Glucera Health,2419,717.0,2730.0
2026-01-12,2,2026,KARNATAKA,Respiratory,Respivan,Aerovant Pharma,4438,963.0,5390.0
2026-01-12,2,2026,telangana,Respiratory,Bronchel,Breathex Labs,5080,1214.0,6308.0
2026-01-12,2,2026,TAMIL NADU,Diabetes,Glucotend,Glucera Health,4250,938.0,4929.0
2026-01-12,2,2026,KARNATAKA,CARDIOLOGY,Cardivex,Corvyx Pharma,2791,586.0,3279.0
2026-01-12,2,2026,Telangana,  Respiratory  ,Respivan,Aerovant Pharma,3066,682.0,3562.0
2026-01-12,2,2026,  Gujarat  ,respiratory,Bronchel,Breathex Labs,5722,1442.0,7012.0
2026-01-12,2,2026,west bengal,respiratory,Bronchel,Breathex Labs,5917,1840.0,7280.0
2026-01-12,2,2026,karnataka,  Diabetes  ,Metforal,Novanta Pharma,4525,1154.0,4921.0
2026-01-12,2,2026,AndhraPradesh,  Diabetes  ,Metforal,,3343,1035.0,3876.0
2026-01-12,2,2026,KARNATAKA,  Diabetes  ,Glucotend,Glucera Health,5043,1457.0,5696.0
2026-01-12,2,2026,rajasthan,Respiratory,Bronchel,Breathex Labs,2909,800.0,3485.0
2026-01-12,2,2026,W. Bengal,DIABETES,Metforal,Novanta Pharma,2539,790.0,3146.0
2026-01-12,2,2026,Tamil Ndu,  Diabetes  ,Metforal,Novanta Pharma,2582,857.0,2940.0
2026-01-12,2,2026,delhi,cardiology,Vascolin,Zenova Biosciences,4546,932.0,5585.0
2026-01-12,2,2026,  Kerala  ,DIABETES,Glucotend,Glucera Health,2679,749.0,3204.0
2026-01-12,2,2026,  Gujarat  ,RESPIRATORY,Airovent,Pulmovia Therapeutics,3701,1010.0,4542.0
2026-01-12,2,2026,  Telangana  ,cardiology,Cordamet,Meditrix Labs,3456,1207.0,3761.0
2026-01-12,2,2026,gujarat,Respiratory,Bronchel,Breathex Labs,4887,1042.0,5532.0
2026-01-12,2,2026,maharashtra,DIABETES,Metforal,Novanta Pharma,2473,702.0,2925.0
2026-01-12,2,2026,W. Bengal,Respiratory,Airovent,Pulmovia Therapeutics,4253,1135.0,4967.0
2026-01-12,2,2026,West Bengal,CARDIOLOGY,Cordamet,Meditrix Labs,4581,1456.0,5469.0
2026-01-12,2,2026,Kerala,diabetes,Insulyn,Insulara Biotech,2558,879.0,2886.0
2026-01-12,2,2026,Gujarat,  Respiratory  ,Bronchel,Breathex Labs,3267,822.0,3520.0
2026-01-12,2,2026,MAHARASHTRA,respiratory,Airovent,Pulmovia Therapeutics,3472,761.0,3859.0
2026-01-12,2,2026,Karnatka,  Diabetes  ,Glucotend,Glucera Health,4226,883.0,5034.0
2026-01-12,2,2026,Karnatka,Diabetes,Insulyn,Insulara Biotech,4095,1016.0,5048.0
