date,week_number,year,region,therapeutic_area,product,brand,trx,nrx,units
2026-01-12,2,2026,Tamil Nadu,Respiratory,Aerovant HFA,Aerovant Pharma,4787.0,1202.0,5333.0
2026-01-12,2,2026,Tamil Nadu,Respiratory,Ventolin Inhaler,GlaxoSmithKline,3565.0,1140.0,4157.0
2026-01-12,2,2026,Tamil Nadu,Respiratory,Breathex Inhaler,Breathex Labs,3420.0,1153.0,4290.0
2026-01-12,2,2026,Tamil Nadu,Respiratory,Respivan,Pulmovia Therapeutics,6365.0,1854.0,7511.0
2026-01-12,2,2026,Tamil Nadu,Respiratory,Airovent,Novanta Pharma,5441.0,1716.0,6141.0
2026-01-12,2,2026,Tamil Nadu,Cardiology,Corvyx XL,Corvyx Pharma,2943.0,717.0,3683.0
2026-01-12,2,2026,Tamil Nadu,Cardiology,Corvyx TAB,Corvyx Pharma,2568.0,574.0,3156.0
2026-01-12,2,2026,Tamil Nadu,Cardiology,CardioGuard,Sun Pharma,4429.0,1208.0,4914.0
2026-01-12,2,2026,Tamil Nadu,Cardiology,Vascolin,Zenova Biosciences,5882.0,1787.0,6741.0
2026-01-12,2,2026,Tamil Nadu,Cardiology,Cordamet,Meditrix Labs,3006.0,839.0,3411.0
2026-01-12,2,2026,Tamil Nadu,Diabetes,Glucera XR,Glucera Health,4638.0,1205.0,5389.0
2026-01-12,2,2026,Tamil Nadu,Diabetes,Januvia,MSD Pharma,5580.0,1322.0,7042.0
2026-01-12,2,2026,Tamil Nadu,Diabetes,Insulyn,Insulara Biotech,6382.0,1717.0,7964.0
2026-01-12,2,2026,Maharashtra,Respiratory,Aerovant HFA,Aerovant Pharma,2594.0,606.0,3273.0
2026-01-12,2,2026,Maharashtra,Respiratory,Ventolin Inhaler,GlaxoSmithKline,6305.0,2073.0,7198.0
2026-01-12,2,2026,Maharashtra,Respiratory,Breathex Inhaler,Breathex Labs,4950.0,1447.0,5556.0
2026-01-12,2,2026,Maharashtra,Respiratory,Respivan,Pulmovia Therapeutics,2831.0,825.0,3679.0
2026-01-12,2,2026,Maharashtra,Respiratory,Airovent,Novanta Pharma,4064.0,1233.0,4641.0
2026-01-12,2,2026,Maharashtra,Cardiology,Corvyx XL,Corvyx Pharma,3450.0,856.0,4476.0
2026-01-12,2,2026,Maharashtra,Cardiology,Corvyx TAB,Corvyx Pharma,4851.0,1580.0,6214.0
2026-01-12,2,2026,Maharashtra,Cardiology,CardioGuard,Sun Pharma,6449.0,1552.0,7921.0
2026-01-12,2,2026,Maharashtra,Cardiology,Vascolin,Zenova Biosciences,5430.0,1859.0,6618.0
2026-01-12,2,2026,Maharashtra,Cardiology,Cordamet,Meditrix Labs,3362.0,996.0,4125.0
2026-01-12,2,2026,Maharashtra,Diabetes,Glucera XR,Glucera Health,5658.0,1509.0,6840.0
2026-01-12,2,2026,Maharashtra,Diabetes,Januvia,MSD Pharma,3873.0,1276.0,4996.0
2026-01-12,2,2026,Maharashtra,Diabetes,Insulyn,Insulara Biotech,3978.0,1010.0,4823.0
2026-01-12,2,2026,Karnataka,Respiratory,Aerovant HFA,Aerovant Pharma,4124.0,1015.0,5222.0
2026-01-12,2,2026,Karnataka,Respiratory,Ventolin Inhaler,GlaxoSmithKline,3677.0,1184.0,4380.0
2026-01-12,2,2026,Karnataka,Respiratory,Breathex Inhaler,Breathex Labs,2707.0,942.0,3304.0
2026-01-12,2,2026,Karnataka,Respiratory,Respivan,Pulmovia Therapeutics,2856.0,744.0,3507.0
2026-01-12,2,2026,Karnataka,Respiratory,Airovent,Novanta Pharma,4340.0,1249.0,5502.0
2026-01-12,2,2026,Karnataka,Cardiology,Corvyx XL,Corvyx Pharma,3700.0,1268.0,4484.0
2026-01-12,2,2026,Karnataka,Cardiology,Corvyx TAB,Corvyx Pharma,5613.0,1408.0,6479.0
2026-01-12,2,2026,Karnataka,Cardiology,CardioGuard,Sun Pharma,4833.0,1609.0,5355.0
2026-01-12,2,2026,Karnataka,Cardiology,Vascolin,Zenova Biosciences,5153.0,1345.0,5767.0
2026-01-12,2,2026,Karnataka,Cardiology,Cordamet,Meditrix Labs,6360.0,1620.0,7132.0
2026-01-12,2,2026,Karnataka,Diabetes,Glucera XR,Glucera Health,4606.0,1606.0,5434.0
2026-01-12,2,2026,Karnataka,Diabetes,Januvia,MSD Pharma,4110.0,1161.0,5312.0
2026-01-12,2,2026,Karnataka,Diabetes,Insulyn,Insulara Biotech,4842.0,1324.0,5448.0
2026-01-12,2,2026,Kerala,Respiratory,Aerovant HFA,Aerovant Pharma,4024.0,902.0,4632.0
2026-01-12,2,2026,Kerala,Respiratory,Ventolin Inhaler,GlaxoSmithKline,2938.0,909.0,3426.0
2026-01-12,2,2026,Kerala,Respiratory,Breathex Inhaler,Breathex Labs,2614.0,799.0,2900.0
2026-01-12,2,2026,Kerala,Respiratory,Respivan,Pulmovia Therapeutics,2767.0,734.0,3545.0
2026-01-12,2,2026,Kerala,Respiratory,Airovent,Novanta Pharma,3523.0,867.0,4218.0
2026-01-12,2,2026,Kerala,Cardiology,Corvyx XL,Corvyx Pharma,4717.0,1173.0,5609.0
2026-01-12,2,2026,Kerala,Cardiology,Corvyx TAB,Corvyx Pharma,2921.0,756.0,3445.0
2026-01-12,2,2026,Kerala,Cardiology,CardioGuard,Sun Pharma,4485.0,1010.0,5565.0
2026-01-12,2,2026,Kerala,Cardiology,Vascolin,Zenova Biosciences,3007.0,680.0,3475.0
2026-01-12,2,2026,Kerala,Cardiology,Cordamet,Meditrix Labs,2922.0,791.0,3791.0
2026-01-12,2,2026,Kerala,Diabetes,Glucera XR,Glucera Health,5962.0,1486.0,7326.0
2026-01-12,2,2026,Kerala,Diabetes,Januvia,MSD Pharma,2837.0,835.0,3205.0
2026-01-12,2,2026,Kerala,Diabetes,Insulyn,Insulara Biotech,5639.0,1888.0,6663.0
2026-01-12,2,2026,West Bengal,Respiratory,Aerovant HFA,Aerovant Pharma,5670.0,1331.0,6805.0
2026-01-12,2,2026,West Bengal,Respiratory,Ventolin Inhaler,GlaxoSmithKline,5798.0,1772.0,6963.0
2026-01-12,2,2026,West Bengal,Respiratory,Breathex Inhaler,Breathex Labs,5359.0,1338.0,6913.0
2026-01-12,2,2026,West Bengal,Respiratory,Respivan,Pulmovia Therapeutics,5610.0,1276.0,6285.0
2026-01-12,2,2026,West Bengal,Respiratory,Airovent,Novanta Pharma,4485.0,1277.0,5460.0
2026-01-12,2,2026,West Bengal,Cardiology,Corvyx XL,Corvyx Pharma,2763.0,647.0,3458.0
2026-01-12,2,2026,West Bengal,Cardiology,Corvyx TAB,Corvyx Pharma,3790.0,1017.0,4297.0
2026-01-12,2,2026,West Bengal,Cardiology,CardioGuard,Sun Pharma,3817.0,876.0,4458.0
2026-01-12,2,2026,West Bengal,Cardiology,Vascolin,Zenova Biosciences,5751.0,1413.0,7365.0
2026-01-12,2,2026,West Bengal,Cardiology,Cordamet,Meditrix Labs,4538.0,1466.0,5023.0
2026-01-12,2,2026,West Bengal,Diabetes,Glucera XR,Glucera Health,4281.0,1104.0,5511.0
2026-01-12,2,2026,West Bengal,Diabetes,Januvia,MSD Pharma,6134.0,1541.0,7781.0
2026-01-12,2,2026,West Bengal,Diabetes,Insulyn,Insulara Biotech,4496.0,1393.0,4967.0
2026-01-12,2,2026,Delhi,Respiratory,Aerovant HFA,Aerovant Pharma,2573.0,762.0,3235.0
2026-01-12,2,2026,Delhi,Respiratory,Ventolin Inhaler,GlaxoSmithKline,4746.0,1622.0,6107.0
2026-01-12,2,2026,Delhi,Respiratory,Breathex Inhaler,Breathex Labs,6459.0,1765.0,7759.0
2026-01-12,2,2026,Delhi,Respiratory,Respivan,Pulmovia Therapeutics,5551.0,1858.0,7119.0
2026-01-12,2,2026,Delhi,Respiratory,Airovent,Novanta Pharma,5176.0,1188.0,6345.0
2026-01-12,2,2026,Delhi,Cardiology,Corvyx XL,Corvyx Pharma,6023.0,1981.0,6746.0
2026-01-12,2,2026,Delhi,Cardiology,Corvyx TAB,Corvyx Pharma,4800.0,1268.0,5693.0
2026-01-12,2,2026,Delhi,Cardiology,CardioGuard,Sun Pharma,5733.0,1277.0,7385.0
2026-01-12,2,2026,Delhi,Cardiology,Vascolin,Zenova Biosciences,5578.0,1626.0,6592.0
2026-01-12,2,2026,Delhi,Cardiology,Cordamet,Meditrix Labs,3126.0,726.0,3860.0
2026-01-12,2,2026,Delhi,Diabetes,Glucera XR,Glucera Health,2536.0,704.0,3051.0
2026-01-12,2,2026,Delhi,Diabetes,Januvia,MSD Pharma,5494.0,1872.0,6634.0
2026-01-12,2,2026,Delhi,Diabetes,Insulyn,Insulara Biotech,3941.0,1236.0,4961.0
2026-01-12,2,2026,Gujarat,Respiratory,Aerovant HFA,Aerovant Pharma,5018.0,1454.0,6387.0
2026-01-12,2,2026,Gujarat,Respiratory,Ventolin Inhaler,GlaxoSmithKline,5046.0,1524.0,5800.0
2026-01-12,2,2026,Gujarat,Respiratory,Breathex Inhaler,Breathex Labs,4294.0,1428.0,5222.0
2026-01-12,2,2026,Gujarat,Respiratory,Respivan,Pulmovia Therapeutics,5499.0,1707.0,7012.0
2026-01-12,2,2026,Gujarat,Respiratory,Airovent,Novanta Pharma,5552.0,1254.0,7049.0
2026-01-12,2,2026,Gujarat,Cardiology,Corvyx XL,Corvyx Pharma,2978.0,870.0,3285.0
2026-01-12,2,2026,Gujarat,Cardiology,Corvyx TAB,Corvyx Pharma,2691.0,699.0,2961.0
2026-01-12,2,2026,Gujarat,Cardiology,CardioGuard,Sun Pharma,5813.0,1595.0,7509.0
2026-01-12,2,2026,Gujarat,Cardiology,Vascolin,Zenova Biosciences,3907.0,940.0,4375.0
2026-01-12,2,2026,Gujarat,Cardiology,Cordamet,Meditrix Labs,4911.0,1458.0,5699.0
2026-01-12,2,2026,Gujarat,Diabetes,Glucera XR,Glucera Health,4038.0,1207.0,4516.0
2026-01-12,2,2026,Gujarat,Diabetes,Januvia,MSD Pharma,3954.0,1166.0,4643.0
2026-01-12,2,2026,Gujarat,Diabetes,Insulyn,Insulara Biotech,2938.0,731.0,3596.0
2026-01-12,2,2026,Telangana,Respiratory,Aerovant HFA,Aerovant Pharma,4152.0,1079.0,4647.0
2026-01-12,2,2026,Telangana,Respiratory,Ventolin Inhaler,GlaxoSmithKline,3502.0,1055.0,4532.0
2026-01-12,2,2026,Telangana,Respiratory,Breathex Inhaler,Breathex Labs,5428.0,1334.0,6739.0
2026-01-12,2,2026,Telangana,Respiratory,Respivan,Pulmovia Therapeutics,4860.0,1321.0,5492.0
2026-01-12,2,2026,Telangana,Respiratory,Airovent,Novanta Pharma,4617.0,1442.0,5665.0
2026-01-12,2,2026,Telangana,Cardiology,Corvyx XL,Corvyx Pharma,2763.0,693.0,3125.0
2026-01-12,2,2026,Telangana,Cardiology,Corvyx TAB,Corvyx Pharma,4139.0,1245.0,5138.0
2026-01-12,2,2026,Telangana,Cardiology,CardioGuard,Sun Pharma,4017.0,1210.0,4699.0
2026-01-12,2,2026,Telangana,Cardiology,Vascolin,Zenova Biosciences,4572.0,1422.0,5876.0
2026-01-12,2,2026,Telangana,Cardiology,Cordamet,Meditrix Labs,3550.0,927.0,4193.0
2026-01-12,2,2026,Telangana,Diabetes,Glucera XR,Glucera Health,5057.0,1447.0,6181.0
2026-01-12,2,2026,Telangana,Diabetes,Januvia,MSD Pharma,2749.0,783.0,3208.0
2026-01-12,2,2026,Telangana,Diabetes,Insulyn,Insulara Biotech,2554.0,648.0,3218.0
2026-01-12,2,2026,Andhra Pradesh,Respiratory,Aerovant HFA,Aerovant Pharma,4028.0,1140.0,5232.0
2026-01-12,2,2026,Andhra Pradesh,Respiratory,Ventolin Inhaler,GlaxoSmithKline,5805.0,1513.0,7246.0
2026-01-12,2,2026,Andhra Pradesh,Respiratory,Breathex Inhaler,Breathex Labs,2591.0,613.0,3182.0
2026-01-12,2,2026,Andhra Pradesh,Respiratory,Respivan,Pulmovia Therapeutics,3975.0,1031.0,4584.0
2026-01-12,2,2026,Andhra Pradesh,Respiratory,Airovent,Novanta Pharma,2747.0,904.0,3392.0
2026-01-12,2,2026,Andhra Pradesh,Cardiology,Corvyx XL,Corvyx Pharma,5336.0,1545.0,6105.0
2026-01-12,2,2026,Andhra Pradesh,Cardiology,Corvyx TAB,Corvyx Pharma,3096.0,746.0,3966.0
2026-01-12,2,2026,Andhra Pradesh,Cardiology,CardioGuard,Sun Pharma,5773.0,1435.0,6461.0
2026-01-12,2,2026,Andhra Pradesh,Cardiology,Vascolin,Zenova Biosciences,6420.0,1458.0,7481.0
2026-01-12,2,2026,Andhra Pradesh,Cardiology,Cordamet,Meditrix Labs,2756.0,809.0,3256.0
2026-01-12,2,2026,Andhra Pradesh,Diabetes,Glucera XR,Glucera Health,5064.0,1741.0,6043.0
2026-01-12,2,2026,Andhra Pradesh,Diabetes,Januvia,MSD Pharma,2909.0,855.0,3419.0
2026-01-12,2,2026,Andhra Pradesh,Diabetes,Insulyn,Insulara Biotech,4731.0,1396.0,6019.0
2026-01-12,2,2026,Rajasthan,Respiratory,Aerovant HFA,Aerovant Pharma,5269.0,1818.0,6337.0
2026-01-12,2,2026,Rajasthan,Respiratory,Ventolin Inhaler,GlaxoSmithKline,4059.0,1027.0,4588.0
2026-01-12,2,2026,Rajasthan,Respiratory,Breathex Inhaler,Breathex Labs,4912.0,1363.0,6370.0
2026-01-12,2,2026,Rajasthan,Respiratory,Respivan,Pulmovia Therapeutics,3051.0,892.0,3934.0
2026-01-12,2,2026,Rajasthan,Respiratory,Airovent,Novanta Pharma,4411.0,1472.0,5350.0
2026-01-12,2,2026,Rajasthan,Cardiology,Corvyx XL,Corvyx Pharma,4275.0,1313.0,4814.0
2026-01-12,2,2026,Rajasthan,Cardiology,Corvyx TAB,Corvyx Pharma,4742.0,1400.0,5769.0
2026-01-12,2,2026,Rajasthan,Cardiology,CardioGuard,Sun Pharma,2549.0,633.0,3189.0
2026-01-12,2,2026,Rajasthan,Cardiology,Vascolin,Zenova Biosciences,5536.0,1416.0,6748.0
2026-01-12,2,2026,Rajasthan,Cardiology,Cordamet,Meditrix Labs,5178.0,1639.0,6288.0
2026-01-12,2,2026,Rajasthan,Diabetes,Glucera XR,Glucera Health,5904.0,1900.0,6940.0
2026-01-12,2,2026,Rajasthan,Diabetes,Januvia,MSD Pharma,4504.0,1306.0,5320.0
2026-01-12,2,2026,Rajasthan,Diabetes,Insulyn,Insulara Biotech,4799.0,1601.0,5863.0
